"iso_code3","year","grade","level","survey","COUNTRY","iso_num","category","Sex","Location","Language","Wealth","mlevel1_m","mlevel2_m","mlevel3_m","mlevel4_m","mlevel1_se","mlevel2_se","mlevel3_se","mlevel4_se","mlevel1_no","mlevel2_no","mlevel3_no","mlevel4_no","slevel1_m","slevel2_m","slevel3_m","slevel4_m","slevel1_se","slevel2_se","slevel3_se","slevel4_se","slevel1_no","slevel2_no","slevel3_no","slevel4_no"
"SAU",2019,4,"Primary","TIMSS","Saudi Arabia",682,"Sex & Language & Wealth","Female",,"Yes","5",,,,,,,,,,,,,0.8336,0.5474,0.2302,0.0886,0.0266,0.0463,0.0355,0.0211,306,225,93,40
"SAU",2019,4,"Primary","TIMSS","Saudi Arabia",682,"Sex & Language & Wealth","Female",,"No","1",,,,,,,,,,,,,0.4227,0.1729,0.0622,0.0182,0.128,0.0851,0.0501,0.0387,14,7,2,0
"SAU",2019,4,"Primary","TIMSS","Saudi Arabia",682,"Sex & Language & Wealth","Female",,"No","2",,,,,,,,,,,,,0.584,0.2334,0.0048,0,0.1503,0.1363,0.016,0,15,4,0,0
"SAU",2019,4,"Primary","TIMSS","Saudi Arabia",682,"Sex & Language & Wealth","Female",,"No","3",,,,,,,,,,,,,0.6129,0.3757,0.1374,0.0544,0.137,0.136,0.1063,0.0861,13,6,3,1
"SAU",2019,4,"Primary","TIMSS","Saudi Arabia",682,"Sex & Language & Wealth","Female",,"No","4",,,,,,,,,,,,,0.7281,0.2834,0.12,0.0412,0.1878,0.1396,0.1191,0.0629,13,6,1,1
"SAU",2019,4,"Primary","TIMSS","Saudi Arabia",682,"Sex & Language & Wealth","Female",,"No","5",,,,,,,,,,,,,0.6771,0.5089,0.209,0.0969,0.1241,0.1469,0.1144,0.0784,14,12,4,2
"SAU",2019,4,"Primary","TIMSS","Saudi Arabia",682,"Sex & Language & Wealth","Male",,"Yes","1",,,,,,,,,,,,,0.3795,0.1655,0.0551,0.0138,0.0391,0.029,0.015,0.0119,116,50,14,2
"SAU",2019,4,"Primary","TIMSS","Saudi Arabia",682,"Sex & Language & Wealth","Male",,"Yes","2",,,,,,,,,,,,,0.4552,0.2252,0.0486,0.0067,0.0519,0.0403,0.0162,0.0067,136,64,13,1
"SAU",2019,4,"Primary","TIMSS","Saudi Arabia",682,"Sex & Language & Wealth","Male",,"Yes","3",,,,,,,,,,,,,0.48,0.2215,0.0605,0.0152,0.0386,0.0283,0.0161,0.0084,149,66,20,5
"SAU",2019,4,"Primary","TIMSS","Saudi Arabia",682,"Sex & Language & Wealth","Male",,"Yes","4",,,,,,,,,,,,,0.6137,0.3382,0.088,0.0222,0.0393,0.0396,0.0265,0.0114,174,96,29,11
"SAU",2019,4,"Primary","TIMSS","Saudi Arabia",682,"Sex & Language & Wealth","Male",,"Yes","5",,,,,,,,,,,,,0.7011,0.4129,0.1249,0.0422,0.0417,0.0407,0.0267,0.0184,196,123,46,19
"SAU",2019,4,"Primary","TIMSS","Saudi Arabia",682,"Sex & Language & Wealth","Male",,"No","1",,,,,,,,,,,,,0.4153,0.1901,0.0624,0,0.2123,0.1373,0.0777,0,9,5,0,0
"SAU",2019,4,"Primary","TIMSS","Saudi Arabia",682,"Sex & Language & Wealth","Male",,"No","2",,,,,,,,,,,,,0.3338,0.153,0.0529,0.006,0.1105,0.0942,0.0775,0.0198,6,3,2,1
"SAU",2019,4,"Primary","TIMSS","Saudi Arabia",682,"Sex & Language & Wealth","Male",,"No","3",,,,,,,,,,,,,0.557,0.2159,0.0128,0,0.1231,0.1222,0.042,0,12,5,0,0
"SAU",2019,4,"Primary","TIMSS","Saudi Arabia",682,"Sex & Language & Wealth","Male",,"No","4",,,,,,,,,,,,,0.5081,0.2419,0.107,0.0361,0.1268,0.1107,0.073,0.0502,19,10,4,1
"SAU",2019,4,"Primary","TIMSS","Saudi Arabia",682,"Sex & Language & Wealth","Male",,"No","5",,,,,,,,,,,,,0.6187,0.3863,0.143,0.0423,0.1653,0.1301,0.0934,0.0691,13,10,3,1
"SGP",2019,4,"Primary","TIMSS","Singapore",702,"Sex & Language & Wealth","Female",,"Yes","1",,,,,,,,,,,,,0.9303,0.8099,0.5091,0.2616,0.0449,0.0488,0.0382,0.047,180,162,99,47
"SGP",2019,4,"Primary","TIMSS","Singapore",702,"Sex & Language & Wealth","Female",,"Yes","2",,,,,,,,,,,,,0.9951,0.953,0.7054,0.4335,0.0114,0.0257,0.049,0.0469,176,169,134,83
"SGP",2019,4,"Primary","TIMSS","Singapore",702,"Sex & Language & Wealth","Female",,"Yes","3",,,,,,,,,,,,,1,0.9787,0.8502,0.5815,0,0.0134,0.0222,0.0465,205,201,176,128
"SGP",2019,4,"Primary","TIMSS","Singapore",702,"Sex & Language & Wealth","Female",,"Yes","4",,,,,,,,,,,,,1,0.9868,0.8933,0.638,0,0.0122,0.0323,0.0565,135,133,124,93
"SGP",2019,4,"Primary","TIMSS","Singapore",702,"Sex & Language & Wealth","Female",,"Yes","5",,,,,,,,,,,,,1,0.9865,0.9135,0.775,0,0.0117,0.0375,0.0514,179,177,168,147
"SGP",2019,4,"Primary","TIMSS","Singapore",702,"Sex & Language & Wealth","Male",,"Yes","1",,,,,,,,,,,,,0.9752,0.8607,0.5947,0.357,0.0211,0.0418,0.062,0.0552,149,130,87,55
"SGP",2019,4,"Primary","TIMSS","Singapore",702,"Sex & Language & Wealth","Male",,"Yes","2",,,,,,,,,,,,,0.9927,0.9038,0.7023,0.4867,0.0086,0.0473,0.0571,0.0501,176,167,131,95
"SGP",2019,4,"Primary","TIMSS","Singapore",702,"Sex & Language & Wealth","Male",,"Yes","3",,,,,,,,,,,,,1,0.9774,0.8753,0.6443,0,0.0171,0.0435,0.0749,186,184,168,126
"SGP",2019,4,"Primary","TIMSS","Singapore",702,"Sex & Language & Wealth","Male",,"Yes","4",,,,,,,,,,,,,1,0.9975,0.9421,0.7566,0,0.0055,0.0246,0.0503,146,146,138,104
"SGP",2019,4,"Primary","TIMSS","Singapore",702,"Sex & Language & Wealth","Male",,"Yes","5",,,,,,,,,,,,,1,0.9847,0.9226,0.7969,0,0.0231,0.0343,0.0453,156,154,145,128
"SGP",2019,4,"Primary","TIMSS","Singapore",702,"Sex & Language & Wealth","Male",,"No","1",,,,,,,,,,,,,1,0.6831,0.3942,0.0655,0,0.1532,0.169,0.1553,10,7,4,2
"SRB",2019,4,"Primary","TIMSS","Serbia",688,"Sex & Language & Wealth","Female",,"Yes","1",,,,,,,,,,,,,0.8288,0.5212,0.1607,0.0559,0.0326,0.0416,0.0369,0.0208,319,213,82,29
"SRB",2019,4,"Primary","TIMSS","Serbia",688,"Sex & Language & Wealth","Female",,"Yes","2",,,,,,,,,,,,,0.9553,0.7627,0.3107,0.0839,0.0152,0.0383,0.0386,0.0184,407,323,135,38
"SRB",2019,4,"Primary","TIMSS","Serbia",688,"Sex & Language & Wealth","Female",,"Yes","3",,,,,,,,,,,,,0.9799,0.8449,0.4061,0.1329,0.0123,0.0291,0.0402,0.0301,344,298,142,55
"SRB",2019,4,"Primary","TIMSS","Serbia",688,"Sex & Language & Wealth","Female",,"Yes","4",,,,,,,,,,,,,0.9839,0.8841,0.4627,0.1925,0.0093,0.0267,0.0349,0.0254,400,359,198,77
"SRB",2019,4,"Primary","TIMSS","Serbia",688,"Sex & Language & Wealth","Female",,"Yes","5",,,,,,,,,,,,,0.9961,0.9604,0.6485,0.3145,0.0043,0.015,0.0384,0.033,366,348,233,112
"SRB",2019,4,"Primary","TIMSS","Serbia",688,"Sex & Language & Wealth","Male",,"Yes","1",,,,,,,,,,,,,0.7704,0.4968,0.1348,0.0177,0.0397,0.0457,0.0275,0.0083,306,188,57,8
"SRB",2019,4,"Primary","TIMSS","Serbia",688,"Sex & Language & Wealth","Male",,"Yes","2",,,,,,,,,,,,,0.9405,0.7178,0.3188,0.0899,0.0181,0.0328,0.0429,0.0239,384,298,139,44
"SRB",2019,4,"Primary","TIMSS","Serbia",688,"Sex & Language & Wealth","Male",,"Yes","3",,,,,,,,,,,,,0.969,0.8179,0.407,0.1469,0.0116,0.0302,0.041,0.0289,344,295,151,57
"SRB",2019,4,"Primary","TIMSS","Serbia",688,"Sex & Language & Wealth","Male",,"Yes","4",,,,,,,,,,,,,0.9821,0.8575,0.4671,0.1963,0.0102,0.0247,0.0409,0.0309,359,318,170,66
"SRB",2019,4,"Primary","TIMSS","Serbia",688,"Sex & Language & Wealth","Male",,"Yes","5",,,,,,,,,,,,,0.9931,0.9357,0.6746,0.3586,0.0056,0.018,0.0397,0.0441,397,374,270,145
"SVK",2019,4,"Primary","TIMSS","Slovakia",703,"Sex & Language & Wealth","Female",,"Yes","1",,,,,,,,,,,,,0.7992,0.537,0.1713,0.0265,0.0555,0.0682,0.0516,0.0187,106,68,22,4
"SVK",2019,4,"Primary","TIMSS","Slovakia",703,"Sex & Language & Wealth","Female",,"Yes","2",,,,,,,,,,,,,0.9525,0.7052,0.2914,0.0848,0.0261,0.05,0.0527,0.0379,133,104,38,12
"SVK",2019,4,"Primary","TIMSS","Slovakia",703,"Sex & Language & Wealth","Female",,"Yes","3",,,,,,,,,,,,,0.9865,0.8392,0.3809,0.0989,0.0103,0.0407,0.0535,0.0424,138,119,48,11
"SVK",2019,4,"Primary","TIMSS","Slovakia",703,"Sex & Language & Wealth","Female",,"Yes","4",,,,,,,,,,,,,0.9924,0.9292,0.5548,0.2096,0.0081,0.0282,0.0545,0.0405,148,140,89,26
"SVK",2019,4,"Primary","TIMSS","Slovakia",703,"Sex & Language & Wealth","Female",,"Yes","5",,,,,,,,,,,,,1,0.9645,0.7002,0.379,0,0.0243,0.0595,0.0565,127,121,86,50
"SVK",2019,4,"Primary","TIMSS","Slovakia",703,"Sex & Language & Wealth","Female",,"No","1",,,,,,,,,,,,,0.2853,0,0,0,0.1776,0,0,0,1,0,0,0
"SVK",2019,4,"Primary","TIMSS","Slovakia",703,"Sex & Language & Wealth","Male",,"Yes","1",,,,,,,,,,,,,0.7102,0.4155,0.1654,0.0332,0.0574,0.0653,0.0512,0.0275,96,50,19,2
"SVK",2019,4,"Primary","TIMSS","Slovakia",703,"Sex & Language & Wealth","Male",,"Yes","2",,,,,,,,,,,,,0.9064,0.6684,0.2475,0.0821,0.0373,0.0533,0.0575,0.0329,137,101,34,14
"SVK",2019,4,"Primary","TIMSS","Slovakia",703,"Sex & Language & Wealth","Male",,"Yes","3",,,,,,,,,,,,,0.9739,0.7647,0.3488,0.1113,0.0216,0.0586,0.0807,0.0516,121,98,41,18
"SVK",2019,4,"Primary","TIMSS","Slovakia",703,"Sex & Language & Wealth","Male",,"Yes","4",,,,,,,,,,,,,0.9785,0.8634,0.4758,0.154,0.017,0.0378,0.0598,0.0489,155,143,68,21
"SVK",2019,4,"Primary","TIMSS","Slovakia",703,"Sex & Language & Wealth","Male",,"Yes","5",,,,,,,,,,,,,0.9805,0.9243,0.6194,0.3254,0.0171,0.03,0.0526,0.0645,121,112,78,39
"SVK",2019,4,"Primary","TIMSS","Slovakia",703,"Sex & Language & Wealth","Male",,"No","1",,,,,,,,,,,,,0.4979,0.4194,0.397,0.1588,0.2817,0.3119,0.3178,0.3117,2,1,1,0
"SWE",2019,4,"Primary","TIMSS","Sweden",752,"Sex & Language & Wealth","Female",,"Yes","1",,,,,,,,,,,,,0.9264,0.6942,0.2854,0.0923,0.026,0.0632,0.0652,0.0417,116,89,37,10
"SWE",2019,4,"Primary","TIMSS","Sweden",752,"Sex & Language & Wealth","Female",,"Yes","2",,,,,,,,,,,,,0.9809,0.8238,0.4446,0.1502,0.0196,0.0481,0.0616,0.0401,131,112,62,21
"SWE",2019,4,"Primary","TIMSS","Sweden",752,"Sex & Language & Wealth","Female",,"Yes","3",,,,,,,,,,,,,0.9872,0.9214,0.5064,0.2233,0.019,0.0307,0.0596,0.0439,155,145,89,41
"SWE",2019,4,"Primary","TIMSS","Sweden",752,"Sex & Language & Wealth","Female",,"Yes","4",,,,,,,,,,,,,0.9913,0.9578,0.6871,0.3381,0.0096,0.0199,0.0582,0.0632,118,113,77,40
"SWE",2019,4,"Primary","TIMSS","Sweden",752,"Sex & Language & Wealth","Female",,"Yes","5",,,,,,,,,,,,,0.9915,0.9356,0.7025,0.3971,0.0151,0.0488,0.0697,0.0695,116,115,89,52
"SWE",2019,4,"Primary","TIMSS","Sweden",752,"Sex & Language & Wealth","Male",,"Yes","1",,,,,,,,,,,,,0.8907,0.5778,0.211,0.0449,0.0394,0.0636,0.0571,0.035,97,61,26,9
"SWE",2019,4,"Primary","TIMSS","Sweden",752,"Sex & Language & Wealth","Male",,"Yes","2",,,,,,,,,,,,,0.9543,0.7411,0.3755,0.1521,0.0315,0.0527,0.0721,0.0496,110,88,47,16
"SWE",2019,4,"Primary","TIMSS","Sweden",752,"Sex & Language & Wealth","Male",,"Yes","3",,,,,,,,,,,,,0.978,0.8663,0.5117,0.1528,0.0184,0.0451,0.0691,0.0457,107,99,62,20
"SWE",2019,4,"Primary","TIMSS","Sweden",752,"Sex & Language & Wealth","Male",,"Yes","4",,,,,,,,,,,,,0.9923,0.8818,0.5671,0.2652,0.0094,0.0479,0.0678,0.059,103,87,55,29
"SWE",2019,4,"Primary","TIMSS","Sweden",752,"Sex & Language & Wealth","Male",,"Yes","5",,,,,,,,,,,,,0.9919,0.9255,0.6793,0.3267,0.0147,0.0306,0.0594,0.0633,120,112,79,43
"SWE",2019,4,"Primary","TIMSS","Sweden",752,"Sex & Language & Wealth","Male",,"No","1",,,,,,,,,,,,,0.5611,0.2368,0.0103,0,0.2481,0.2692,0.0362,0,5,1,0,0
"TUR",2019,4,"Primary","TIMSS","Turkey",792,"Sex & Language & Wealth","Female",,"Yes","1",,,,,,,,,,,,,0.7348,0.4577,0.1639,0.0586,0.033,0.0355,0.026,0.0175,267,167,55,18
"TUR",2019,4,"Primary","TIMSS","Turkey",792,"Sex & Language & Wealth","Female",,"Yes","2",,,,,,,,,,,,,0.8753,0.6526,0.2806,0.0794,0.0285,0.0369,0.0303,0.0204,320,240,104,25
"TUR",2019,4,"Primary","TIMSS","Turkey",792,"Sex & Language & Wealth","Female",,"Yes","3",,,,,,,,,,,,,0.9623,0.8289,0.4436,0.177,0.0107,0.0248,0.0395,0.0215,389,335,178,72
"TUR",2019,4,"Primary","TIMSS","Turkey",792,"Sex & Language & Wealth","Female",,"Yes","4",,,,,,,,,,,,,0.9851,0.8946,0.5317,0.2392,0.0074,0.0181,0.0356,0.0285,388,353,200,88
"TUR",2019,4,"Primary","TIMSS","Turkey",792,"Sex & Language & Wealth","Female",,"Yes","5",,,,,,,,,,,,,0.9951,0.961,0.7351,0.4332,0.0042,0.0168,0.0316,0.0307,350,342,267,158
"TUR",2019,4,"Primary","TIMSS","Turkey",792,"Sex & Language & Wealth","Female",,"No","1",,,,,,,,,,,,,0.291,0.12,0.026,0,0.1195,0.0718,0.0423,0,9,2,1,0
"TUR",2019,4,"Primary","TIMSS","Turkey",792,"Sex & Language & Wealth","Female",,"No","2",,,,,,,,,,,,,0.4985,0.0901,0.0514,0,0.1926,0.0878,0.0667,0,6,2,0,0
"TUR",2019,4,"Primary","TIMSS","Turkey",792,"Sex & Language & Wealth","Male",,"Yes","1",,,,,,,,,,,,,0.7295,0.4782,0.1994,0.0807,0.041,0.044,0.036,0.0185,225,148,52,22
"TUR",2019,4,"Primary","TIMSS","Turkey",792,"Sex & Language & Wealth","Male",,"Yes","2",,,,,,,,,,,,,0.8903,0.6768,0.3348,0.127,0.0251,0.0401,0.0366,0.0251,292,221,106,41
"TUR",2019,4,"Primary","TIMSS","Turkey",792,"Sex & Language & Wealth","Male",,"Yes","3",,,,,,,,,,,,,0.9283,0.7869,0.4644,0.1786,0.0213,0.0319,0.0448,0.0349,293,250,143,55
"TUR",2019,4,"Primary","TIMSS","Turkey",792,"Sex & Language & Wealth","Male",,"Yes","4",,,,,,,,,,,,,0.9795,0.8746,0.5526,0.2815,0.0123,0.0237,0.0352,0.04,322,285,178,99
"TUR",2019,4,"Primary","TIMSS","Turkey",792,"Sex & Language & Wealth","Male",,"Yes","5",,,,,,,,,,,,,1,0.9775,0.814,0.5185,0,0.01,0.0272,0.0344,371,361,300,196
"TUR",2019,4,"Primary","TIMSS","Turkey",792,"Sex & Language & Wealth","Male",,"No","1",,,,,,,,,,,,,0.5762,0.287,0.0378,0,0.1063,0.1033,0.0392,0,23,8,1,0
"TUR",2019,4,"Primary","TIMSS","Turkey",792,"Sex & Language & Wealth","Male",,"No","2",,,,,,,,,,,,,0.7319,0.3871,0.1224,0.0537,0.2178,0.1861,0.1317,0.1097,10,3,0,0
"TWN",2019,4,"Primary","TIMSS","Taiwan, Province of China",158,"Sex & Language & Wealth","Female",,"Yes","1",,,,,,,,,,,,,0.9567,0.7271,0.3648,0.1414,0.0235,0.0479,0.044,0.0347,150,116,52,22
"TWN",2019,4,"Primary","TIMSS","Taiwan, Province of China",158,"Sex & Language & Wealth","Female",,"Yes","2",,,,,,,,,,,,,0.9885,0.8605,0.4381,0.158,0.0091,0.0372,0.0445,0.0322,164,147,73,31
"TWN",2019,4,"Primary","TIMSS","Taiwan, Province of China",158,"Sex & Language & Wealth","Female",,"Yes","3",,,,,,,,,,,,,0.9894,0.8967,0.5788,0.261,0.0122,0.0275,0.0482,0.039,156,140,90,42
"TWN",2019,4,"Primary","TIMSS","Taiwan, Province of China",158,"Sex & Language & Wealth","Female",,"Yes","4",,,,,,,,,,,,,0.9969,0.9537,0.6222,0.3116,0.0068,0.0306,0.0459,0.0411,143,139,94,48
"TWN",2019,4,"Primary","TIMSS","Taiwan, Province of China",158,"Sex & Language & Wealth","Female",,"Yes","5",,,,,,,,,,,,,1,0.9884,0.7995,0.4957,0,0.0117,0.0472,0.0521,145,142,116,70
"TWN",2019,4,"Primary","TIMSS","Taiwan, Province of China",158,"Sex & Language & Wealth","Male",,"Yes","1",,,,,,,,,,,,,0.9308,0.7176,0.3457,0.1177,0.0213,0.0546,0.043,0.0327,143,117,56,19
"TWN",2019,4,"Primary","TIMSS","Taiwan, Province of China",158,"Sex & Language & Wealth","Male",,"Yes","2",,,,,,,,,,,,,0.9704,0.8215,0.4686,0.2284,0.0186,0.049,0.0413,0.054,146,123,69,34
"TWN",2019,4,"Primary","TIMSS","Taiwan, Province of China",158,"Sex & Language & Wealth","Male",,"Yes","3",,,,,,,,,,,,,0.9958,0.9034,0.554,0.276,0.0072,0.0385,0.0522,0.045,151,141,83,41
"TWN",2019,4,"Primary","TIMSS","Taiwan, Province of China",158,"Sex & Language & Wealth","Male",,"Yes","4",,,,,,,,,,,,,1,0.9397,0.6686,0.3554,0,0.0205,0.0386,0.0437,156,148,103,58
"TWN",2019,4,"Primary","TIMSS","Taiwan, Province of China",158,"Sex & Language & Wealth","Male",,"Yes","5",,,,,,,,,,,,,1,0.9688,0.8021,0.5008,0,0.0181,0.0364,0.0532,165,159,132,83
"ZAF",2019,4,"Primary","TIMSS","South Africa",710,"Sex & Language & Wealth","Female",,"Yes","1",,,,,,,,,,,,,0.1847,0.0431,0.0083,0.001,0.028,0.0162,0.0048,0.0012,95,29,7,3
"ZAF",2019,4,"Primary","TIMSS","South Africa",710,"Sex & Language & Wealth","Female",,"Yes","2",,,,,,,,,,,,,0.2179,0.0815,0.0175,0.0091,0.0252,0.0173,0.0074,0.0052,135,44,10,5
"ZAF",2019,4,"Primary","TIMSS","South Africa",710,"Sex & Language & Wealth","Female",,"Yes","3",,,,,,,,,,,,,0.3335,0.1021,0.0147,0.0037,0.032,0.0199,0.0074,0.0026,188,64,11,4
"ZAF",2019,4,"Primary","TIMSS","South Africa",710,"Sex & Language & Wealth","Female",,"Yes","4",,,,,,,,,,,,,0.4479,0.2234,0.0568,0.0162,0.0345,0.0254,0.0131,0.0075,254,120,27,7
"ZAF",2019,4,"Primary","TIMSS","South Africa",710,"Sex & Language & Wealth","Female",,"Yes","5",,,,,,,,,,,,,0.7853,0.5743,0.3295,0.1929,0.0281,0.0281,0.0341,0.0312,458,327,179,102
"ZAF",2019,4,"Primary","TIMSS","South Africa",710,"Sex & Language & Wealth","Female",,"No","1",,,,,,,,,,,,,0.0308,0.0016,0,0,0.0326,0.0053,0,0,4,0,0,0
"ZAF",2019,4,"Primary","TIMSS","South Africa",710,"Sex & Language & Wealth","Female",,"No","2",,,,,,,,,,,,,0.0275,0,0,0,0.036,0,0,0,2,0,0,0
"ZAF",2019,4,"Primary","TIMSS","South Africa",710,"Sex & Language & Wealth","Female",,"No","3",,,,,,,,,,,,,0.0014,0,0,0,0.0046,0,0,0,0,0,0,0
"ZAF",2019,4,"Primary","TIMSS","South Africa",710,"Sex & Language & Wealth","Female",,"No","4",,,,,,,,,,,,,0.1453,0,0,0,0.1325,0,0,0,1,0,0,0
"ZAF",2019,4,"Primary","TIMSS","South Africa",710,"Sex & Language & Wealth","Female",,"No","5",,,,,,,,,,,,,0.2763,0.1217,0,0,0.1684,0.1257,0,0,5,2,0,0
"ZAF",2019,4,"Primary","TIMSS","South Africa",710,"Sex & Language & Wealth","Male",,"Yes","1",,,,,,,,,,,,,0.1437,0.0473,0.0103,0.0038,0.0266,0.0161,0.0061,0.0033,70,22,5,2
"ZAF",2019,4,"Primary","TIMSS","South Africa",710,"Sex & Language & Wealth","Male",,"Yes","2",,,,,,,,,,,,,0.1887,0.0689,0.0184,0.0064,0.0271,0.0184,0.0075,0.005,84,29,7,3
"ZAF",2019,4,"Primary","TIMSS","South Africa",710,"Sex & Language & Wealth","Male",,"Yes","3",,,,,,,,,,,,,0.2548,0.1087,0.0339,0.0108,0.0252,0.0227,0.0106,0.0078,109,43,14,3
"ZAF",2019,4,"Primary","TIMSS","South Africa",710,"Sex & Language & Wealth","Male",,"Yes","4",,,,,,,,,,,,,0.3837,0.2131,0.0751,0.0239,0.0291,0.0251,0.0187,0.0113,182,100,38,10
"ZAF",2019,4,"Primary","TIMSS","South Africa",710,"Sex & Language & Wealth","Male",,"Yes","5",,,,,,,,,,,,,0.7278,0.5438,0.3154,0.1414,0.0362,0.0328,0.032,0.0275,367,255,141,65
"ZAF",2019,4,"Primary","TIMSS","South Africa",710,"Sex & Language & Wealth","Male",,"No","1",,,,,,,,,,,,,0.0201,0.004,0,0,0.0139,0.0037,0,0,4,1,0,0
"ZAF",2019,4,"Primary","TIMSS","South Africa",710,"Sex & Language & Wealth","Male",,"No","2",,,,,,,,,,,,,0.0546,0.0106,0,0,0.0483,0.023,0,0,1,1,0,0
"ZAF",2019,4,"Primary","TIMSS","South Africa",710,"Sex & Language & Wealth","Male",,"No","3",,,,,,,,,,,,,0.0561,0.023,0.0025,0,0.0263,0.0175,0.0082,0,6,4,0,0
"ZAF",2019,4,"Primary","TIMSS","South Africa",710,"Sex & Language & Wealth","Male",,"No","4",,,,,,,,,,,,,0.0707,0.0157,0,0,0.0465,0.024,0,0,5,1,0,0
"ZAF",2019,4,"Primary","TIMSS","South Africa",710,"Sex & Language & Wealth","Male",,"No","5",,,,,,,,,,,,,0.1835,0.0842,0.0227,0,0.0829,0.0613,0.0299,0,8,4,2,0
"Abu Dhabi, UAE",2019,4,"Primary","TIMSS","Abu Dhabi, UAE",7842,"Location & Language & Wealth",,"Urban","Yes","1",,,,,,,,,,,,,0.4519,0.2619,0.0948,0.0336,0.0357,0.0374,0.0361,0.0234,195,103,25,7
"Abu Dhabi, UAE",2019,4,"Primary","TIMSS","Abu Dhabi, UAE",7842,"Location & Language & Wealth",,"Urban","Yes","2",,,,,,,,,,,,,0.6465,0.4226,0.1912,0.0681,0.0306,0.0316,0.0302,0.018,266,169,77,26
"Abu Dhabi, UAE",2019,4,"Primary","TIMSS","Abu Dhabi, UAE",7842,"Location & Language & Wealth",,"Urban","Yes","3",,,,,,,,,,,,,0.7369,0.5005,0.2066,0.0798,0.0229,0.0296,0.0282,0.0185,336,228,93,32
"Abu Dhabi, UAE",2019,4,"Primary","TIMSS","Abu Dhabi, UAE",7842,"Location & Language & Wealth",,"Urban","Yes","4",,,,,,,,,,,,,0.8458,0.6394,0.3149,0.1192,0.029,0.0286,0.0276,0.0221,335,249,124,45
"Abu Dhabi, UAE",2019,4,"Primary","TIMSS","Abu Dhabi, UAE",7842,"Location & Language & Wealth",,"Urban","Yes","5",,,,,,,,,,,,,0.8297,0.6359,0.3728,0.1978,0.0281,0.0329,0.0371,0.024,322,257,157,83
"Abu Dhabi, UAE",2019,4,"Primary","TIMSS","Abu Dhabi, UAE",7842,"Location & Language & Wealth",,"Urban","No","1",,,,,,,,,,,,,0.3327,0.2167,0.0336,0,0.1343,0.1001,0.0543,0,10,5,1,0
"Abu Dhabi, UAE",2019,4,"Primary","TIMSS","Abu Dhabi, UAE",7842,"Location & Language & Wealth",,"Urban","No","2",,,,,,,,,,,,,0.5341,0.2667,0.0842,0.0471,0.0793,0.1018,0.0601,0.0389,20,11,5,2
"Abu Dhabi, UAE",2019,4,"Primary","TIMSS","Abu Dhabi, UAE",7842,"Location & Language & Wealth",,"Urban","No","3",,,,,,,,,,,,,0.7483,0.4523,0.1385,0.0479,0.101,0.1018,0.068,0.063,26,15,4,2
"Abu Dhabi, UAE",2019,4,"Primary","TIMSS","Abu Dhabi, UAE",7842,"Location & Language & Wealth",,"Urban","No","4",,,,,,,,,,,,,0.6547,0.3371,0.0972,0.0128,0.1228,0.101,0.0598,0.0176,21,11,5,1
"Abu Dhabi, UAE",2019,4,"Primary","TIMSS","Abu Dhabi, UAE",7842,"Location & Language & Wealth",,"Urban","No","5",,,,,,,,,,,,,0.8414,0.6065,0.2251,0.0902,0.0921,0.1054,0.0895,0.0566,28,18,8,3
"Abu Dhabi, UAE",2019,4,"Primary","TIMSS","Abu Dhabi, UAE",7842,"Location & Language & Wealth",,"Rural","Yes","1",,,,,,,,,,,,,0.085,0.0038,0,0,0.0546,0.0126,0,0,4,0,0,0
"Abu Dhabi, UAE",2019,4,"Primary","TIMSS","Abu Dhabi, UAE",7842,"Location & Language & Wealth",,"Rural","Yes","2",,,,,,,,,,,,,0.1634,0.0352,0,0,0.0773,0.0417,0,0,5,0,0,0
"Abu Dhabi, UAE",2019,4,"Primary","TIMSS","Abu Dhabi, UAE",7842,"Location & Language & Wealth",,"Rural","Yes","3",,,,,,,,,,,,,0.3533,0.0207,0,0,0.2909,0.0715,0,0,3,0,0,0
"ALB",2019,4,"Primary","TIMSS","Albania",8,"Location & Language & Wealth",,"Urban","Yes","1",,,,,,,,,,,,,0.7469,0.3886,0.1134,0.0319,0.0385,0.0353,0.0194,0.0115,439,238,71,16
"ALB",2019,4,"Primary","TIMSS","Albania",8,"Location & Language & Wealth",,"Urban","Yes","2",,,,,,,,,,,,,0.8365,0.5477,0.1774,0.0511,0.0263,0.0366,0.0325,0.0149,525,333,103,24
"ALB",2019,4,"Primary","TIMSS","Albania",8,"Location & Language & Wealth",,"Urban","Yes","3",,,,,,,,,,,,,0.8968,0.6272,0.2254,0.0527,0.0218,0.0316,0.0326,0.0151,571,402,142,41
"ALB",2019,4,"Primary","TIMSS","Albania",8,"Location & Language & Wealth",,"Urban","Yes","4",,,,,,,,,,,,,0.9725,0.7664,0.3273,0.0928,0.0085,0.0282,0.024,0.0177,644,512,213,58
"ALB",2019,4,"Primary","TIMSS","Albania",8,"Location & Language & Wealth",,"Urban","Yes","5",,,,,,,,,,,,,0.9838,0.8914,0.586,0.2658,0.0065,0.0194,0.0363,0.037,610,558,368,188
"ALB",2019,4,"Primary","TIMSS","Albania",8,"Location & Language & Wealth",,"Rural","Yes","1",,,,,,,,,,,,,0.8743,0.6368,0.2156,0.0653,0.0393,0.0963,0.0724,0.0357,45,37,14,3
